Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;Abgabe
4625;18900101;20250619;59;   53.6424;  11.3871; Schwerin; Mecklenburg-Vorpommern;  Frei
4629;19721001;19991130;37;   54.5166;   9.1420; Schwesing; Schleswig-Holstein;  Frei
4642;19761001;20250619;22;   52.8911;  11.7297; Seehausen; Sachsen-Anhalt;  Frei
4649;19470101;19560531;214;   50.8698;   7.3228; Seelscheid; Nordrhein-Westfalen;  Frei
4651;19370101;20250619;189;   51.9040;  10.1885; Seesen; Niedersachsen;  Frei
4656;19510101;19730630;49;   53.9278;  10.2993; Segeberg, Bad; Schleswig-Holstein;  Frei
4663;19820201;20110412;535;   50.1633;  12.1188; Selb/Selbbach; Bayern;  Frei
4664;19410101;20000630;611;   50.1969;  12.1727; Selb/Oberfranken-Wildenau; Bayern;  Frei
4665;19690101;19750531;431;   49.5281;   7.0417; Selbach (Tholey); Saarland;  Frei
4678;19700101;19880729;1;   53.5833;   8.0333; Sengwarden; Niedersachsen;  Frei
4692;19370101;20181130;229;   50.8534;   7.9966; Siegen (Kläranlage); Nordrhein-Westfalen;  Frei
4702;20000702;20071101;645;   48.1000;   9.2500; Sigmaringen (Flugplatz); Baden-Württemberg;  Frei
4703;19510101;20250619;581;   48.0719;   9.1943; Sigmaringen-Laiz; Baden-Württemberg;  Frei
4704;19880501;20250619;508;   47.5776;   9.7404; Sigmarszell-Zeisertsweiler; Bayern;  Frei
4705;19470101;19531210;819;   49.7595;  12.3891; Silberhütte; Bayern;  Frei
4706;19810101;20250619;358;   48.2718;  13.0273; Simbach/Inn; Bayern;  Frei
4709;19790401;20250619;445;   49.9996;   7.5981; Simmern-Wahlbach; Rheinland-Pfalz;  Frei
4719;19980101;20070828;169;   49.2447;   8.8787; Sinsheim; Baden-Württemberg;  Frei
4729;19890701;20040229;342;   50.2882;   9.4583; Steinau-Seidenroth; Hessen;  Frei
4735;19770101;19861231;123;   48.7833;   8.0833; Söllingen; Baden-Württemberg;
4741;19360101;20021231;152;   51.1400;   7.0930; Solingen-Hohenscheid; Nordrhein-Westfalen;  Frei
4745;19350101;20250619;75;   52.9604;   9.7930; Soltau; Niedersachsen;  Frei
4748;18610101;20250619;185;   51.3691;  10.8800; Sondershausen; Thüringen;  Frei
4752;19450701;20080701;626;   50.3746;  11.1828; Sonneberg-Neufang; Thüringen;  Frei
4763;19610101;20250619;265;   51.0607;   9.9266; Sontra; Hessen;  Frei
4765;19510101;19801231;199;   51.2800;   9.9847; Sooden-Allendorf, Bad; Hessen;  Frei
4775;19520101;19651231;424;   49.7858;  11.8211; Speinshart; Bayern;  Frei
4782;19650401;19911231;87;   51.6040;  12.1093; Spören-Prussendorf; Sachsen-Anhalt;  Frei
4806;19510501;19831231;370;   50.7832;  11.0880; Stadtilm; Thüringen;  Frei
4813;20200801;20250619;318;   50.0806;  11.0467; Staffelstein, Bad-Stublang; Bayern;  Frei
4818;19640401;20001231;597;   50.1531;  11.7402; Stammbach-Querenbach; Bayern;  Frei
4837;19851201;19900930;363;   47.9869;   7.9466; Stegen; Baden-Württemberg;  Frei
4841;19981001;20250619;0;   53.6946;   8.8735; Steinau, Kr. Cuxhaven; Niedersachsen;  Frei
4847;19700101;19751231;500;   51.3629;   9.6902; Steinberg; Niedersachsen;  Frei
4857;19901101;20250619;2;   53.5534;   9.6097; Mittelnkirchen-Hohenfelde; Niedersachsen;  Frei
4878;19300101;20250619;504;   51.6646;  10.8811; Oberharz am Brocken-Stiege; Sachsen-Anhalt;  Frei
4880;19841201;20250619;450;   49.0878;  10.1240; Stimpfach-Weipertshofen; Baden-Württemberg;  Frei
4881;19771001;19940731;533;   47.8591;   9.0152; Stockach; Baden-Württemberg;  Frei
4886;19751101;20070526;3;   53.8333;   9.3667; Störsperrwerk; Schleswig-Holstein;
4887;19470101;20250619;734;   48.6656;   9.8648; Stötten; Baden-Württemberg;  Frei
4896;19741201;20221130;40;   54.6654;   9.8050; Wagersrott; Schleswig-Holstein;  Frei
4911;19490501;20250619;351;   48.8275;  12.5597; Straubing; Bayern;  Frei
4919;19771001;20250619;7;   54.4965;   8.8069; Strucklahnungshörn; Schleswig-Holstein;  Frei
4926;19460101;20130514;224;   48.7896;   9.2167; Stuttgart (Neckartal); Baden-Württemberg;  Frei
4927;19490801;19840731;286;   48.7693;   9.1814; Stuttgart-Stadt; Baden-Württemberg;  Frei
4928;19580101;20250619;314;   48.8281;   9.2000; Stuttgart (Schnarrenberg); Baden-Württemberg;  Frei
4929;19840901;19850531;311;   48.8333;   9.2000; Stuttgart (Schnarrenberg Aero); Baden-Württemberg;  Frei
4931;19530101;20250619;371;   48.6883;   9.2235; Stuttgart-Echterdingen; Baden-Württemberg;  Frei
4933;19000101;19770630;401;   48.7091;   9.2147; Stuttgart-Hohenheim; Baden-Württemberg;  Frei
4939;19470101;19581231;235;   51.7333;  11.1167; Suderode, Bad; Sachsen-Anhalt;  Frei
4945;19500901;19830424;314;   51.6000;  10.6833; Sülzhayn; Thüringen;  Frei
4947;19880817;20250619;129;   52.2317;  10.9200; Süpplingen; Niedersachsen;  Frei
4963;19590101;19871231;175;   51.4667;  10.8000; Sundhausen; Thüringen;  Frei
4966;19390401;19571231;415;   50.8696;  10.5106; Tabarz/Thüringer Wald; Thüringen;  Frei
4977;19930101;20020430;45;   52.5447;  11.9724; Tangermünde; Sachsen-Anhalt;  Frei
4978;19860101;20250619;395;   50.6390;  10.0228; Tann/Rhön; Hessen;  Frei
4987;19860501;20040630;179;   49.6122;   9.6747; Tauberbischofsheim-Dittigheim; Baden-Württemberg;  Frei
4996;19360101;19991031;837;   47.7099;  11.7639; Tegernsee; Bayern;  Frei
4997;19941001;20250619;196;   50.9771;  12.3419; Starkenberg-Tegkwitz; Thüringen;  Frei
5009;19470101;20250619;37;   53.7610;  12.5574; Teterow; Mecklenburg-Vorpommern;  Frei
5014;19520101;20250619;7;   53.2758;   8.9857; Worpswede-Hüttenbusch; Niedersachsen;  Frei
5017;19480101;20250619;633;   50.4002;  11.3888; Teuschnitz; Bayern;  Frei
5029;19750601;20250619;387;   49.4737;   7.0385; Tholey; Saarland;  Frei
5032;19860501;20031231;197;   49.8850;   9.8469; Thüngersheim; Bayern;  Frei
5039;19680301;19981231;236;   50.8430;  10.1613; Tiefenort; Thüringen;  Frei
5046;19670101;20250619;501;   49.8576;  12.3542; Tirschenreuth-Lodermühl; Bayern;  Frei
5047;19480101;19951231;870;   47.9394;   8.1933; Titisee-Neustadt-Langenordnach; Baden-Württemberg;  Frei
5049;19570101;20080501;846;   47.8991;   8.1460; Titisee-Neustadt-Titisee; Baden-Württemberg;  Frei
5059;19821001;20021231;781;   47.7279;   7.9988; Todtmoos; Baden-Württemberg;  Frei
5063;19360101;20070531;724;   47.7566;  11.5819; Tölz, Bad; Bayern;  Frei
5064;20041201;20250619;37;   51.2897;   6.4437; Tönisvorst; Nordrhein-Westfalen;  Frei
5067;19370101;19660930;491;   51.7643;   9.5628; Torfhaus im Solling; Niedersachsen;  Frei
5068;19360101;19901231;80;   51.5833;  13.0000; Torgau; Sachsen;  Frei
